name	description	price	image_src
Липтон Айс Ти - Зеленый Чай	Прохладительный напиток (Средний 400 мл, Большой 500 мл)	65	https://eda.yandex/images/3490902/ac6f397a0ec79d8bfd47651eee9c24f3-450x300.jpeg
Биг Мак	Два бифштекса из 100% говядины на специальной булочке Биг Мак, заправленной луком, двумя кусочками маринованных огурчиков, ломтиком сыра Чеддер, салатом, и специальным соусом Биг Мак	139	https://eda.yandex/images/3377781/9fb800c29701b08bb242255955babb6a-450x300.jpeg
Чикен Макнаггетс (9 шт.)	Неподражаемые Чикен Макнаггетс – это сочное 100% белое куриное мясо в хрустящей панировке со специями. Только натуральная курочка без искусственных красителей и ароматизаторов и без консервантов	99	https://eda.yandex/images/1387779/ca50e56a911e9c77b0b33223f2a64a77-450x300.jpeg
Биг Тейсти	Сандвич с большим, рубленым бифштексом из 100% говядины на булочке с кунжутом. Особенный вкус сандвичу придают три кусочка сыра Эмменталь, два ломтика помидора, салат, лук и пикантный соус Гриль	249	https://eda.yandex/images/3725642/c9c37f367d5228b1c432817e2ec713d0-450x300.png
Картофель Фри	Вкусные, обжаренные в растительном фритюре и слегка посоленные палочки картофеля	67	https://eda.yandex/images/1387779/e6860d949709f6cf5625c8eaf79efcc2-450x300.jpeg
Обед с Биг Тейсти	Сытный обед с легендарным Биг Тейсти! Биг Тейсти – 2 шт., Картофель фри средняя порция – 2 шт., Чикен МакНаггетс (9 шт.) – 1 порция, Соус на выбор – 4 шт.	819	https://eda.yandex/images/3529621/e12c3fe3a04586b5efaea68d585f08fb-450x300.png
Обед с Биг Мак и Чикен МакНаггетс (9 шт.)	Только в МакДоставке! Биг Мак – 2 шт., Чикен Макнаггетс (9 шт.) – 1 порция, Картофель фри средняя порция – 2 шт., Соус на выбор – 4 шт.	599	https://eda.yandex/images/2415806/a6463d10920f864a7c9a484147aebf75-450x300.jpeg
Пара Биг Мак Бекон	Два Биг Мака Бекон по специальной цене!	299	https://eda.yandex/images/3439028/267360044b0a0db922676140e59e576f-450x300.png
Пара Биг Мак	Два Биг Мака по специальной цене!	249	https://eda.yandex/images/3528150/118b7a3a211fc1210f390489324e2bc4-450x300.png
Обед на двоих с Роял	Сытный обед с двумя Роялами только в МакДоставке	576	https://eda.yandex/images/2750126/b3e1230c06ce54d6e555e30984ada4c0-450x300.jpeg
Обед на двоих с Биг Маком	Сытный обед с двумя Биг Маками только в МакДоставке	460	https://eda.yandex/images/3521394/3d96a28f22ada6a2dbf0381ae34eb3fc-450x300.png
Обед на двоих с Макчикен Премьер	Сытный обед с двумя Макчикен Премьер только в МакДоставке	488	https://eda.yandex/images/2370127/12ce6d2d60d6ed352d1b304e7a4b4c29-450x300.jpeg
Выгодная Пара с Латте	Два Латте 300 мл по специальной цене	158	https://eda.yandex/images/3513074/8ac6274a30cbd05c5d86882e1161de4c-450x300.png
Выгодная Пара с Капучино	Два Капучино 300 мл по специальной цене	158	https://eda.yandex/images/3502728/b533e5b51f7fa8d9d94f3652f0836446-450x300.png
Обед с Роял и Чикен МакНаггетс (9 шт.)	Только в МакДоставке! Роял – 2 шт., Чикен МакНаггетс (9 шт.) – 1 порция, Картофель фри средняя порция – 2 шт., Соус на выбор – 4 шт.	-1	https://eda.yandex/images/1962206/750c371fb36c0beb6251e208f9f176af-450x300.jpeg
Макчикен Премьер Пиканто Большой МакКомбо	Большой МакКомбо состоит из Макчикен Премьер Пиканто, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться.	264	https://eda.yandex/images/3521394/509e559a20cbc34f35ce51864a7499f2-450x300.png
Двойной Биг Тейсти Большой МакКомбо	Большой МакКомбо состоит из Двойного Биг Тейсти, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	425	https://eda.yandex/images/3439767/80ec850679f4cff8e5c4c367293237e3-450x300.png
Биг Тейсти Большой МакКомбо	Большой МакКомбо состоит из Биг Тейсти, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	351	https://eda.yandex/images/3538649/60b22562c28cafdad86e2fc09b25996a-450x300.png
